tif_source,com_garimpo,sem_garimpo,total_chips,mining_ratio,mining_band,split
v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,5229,6007,11236,46.54,25-50%,train
v3_new_ret_s2_median_2024_dry-0000000000-0000013568.tif,6705,4531,11236,59.67,50-75%,val
v3_new_ret_s2_median_2024_dry-0000013568-0000000000.tif,6493,4743,11236,57.79,50-75%,train
v3_new_ret_s2_median_2024_dry-0000013568-0000013568.tif,10025,1211,11236,89.22,75-100%,train
v3_new_ret_s2_median_2024_dry-0000027136-0000013568.tif,6371,4865,11236,56.7,50-75%,train
v3_new_ret_s2_median_2024_dry-0000027136-0000000000.tif,673,10563,11236,5.99,1-25%,test
v3_new_ret_s2_median_2024_dry-0000000000-0000027136.tif,2618,8512,11130,23.52,1-25%,train
v3_new_ret_s2_median_2024_dry-0000013568-0000027136.tif,6117,5013,11130,54.96,50-75%,train
v3_new_ret_s2_median_2024_dry-0000027136-0000027136.tif,9132,1998,11130,82.05,75-100%,train
v3_new_ret_s2_median_2024_dry-0000040704-0000000000.tif,18,3586,3604,0.5,0%,val
v3_new_ret_s2_median_2024_dry-0000040704-0000013568.tif,0,3604,3604,0.0,0%,train
v3_new_ret_s2_median_2024_dry-0000040704-0000027136.tif,2160,1410,3570,60.5,50-75%,test
