model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
ResNet-50,resnet50,1,0.5471042980202158,0.7069735653787009,0.7009488832243465,0.6585025886101155,0.7433951778385773,0.7563118408176579,0.730912300611563,149.9,0.5405205645811847,0.7224393530997305,0.7218808747476919,0.7343437600773944,0.7094179894179894,0.747880410531013,0.6747181964573269
ResNet-50,resnet50,2,0.5083682847795838,0.740096170275086,0.7350208066304225,0.6983483951386725,0.7716932181221724,0.7826682613895836,0.761021715687311,121.6,0.5590051493876064,0.6975741239892184,0.6958229251597445,0.6727431821496281,0.7189026681698609,0.8536367692994199,0.6209023044466082
ResNet-50,resnet50,3,0.493257223577018,0.7498108325807318,0.7446470115929532,0.70833451896537,0.7809595042205364,0.7947156681526585,0.767671463081609,121.3,0.5429974041055797,0.7231805929919137,0.7184479801169593,0.7549510856597471,0.6819448745741715,0.6550647032574743,0.7111254642338124
ResNet-50,resnet50,4,0.480615166088553,0.7587444165100442,0.7539771272780077,0.7197300516077809,0.7882242029482345,0.8,0.7767900504655926,114.8,0.5085989913207822,0.7417789757412399,0.7402461105579055,0.7602002503128911,0.7202919708029197,0.7338985571917299,0.7071807367063208
ResNet-50,resnet50,5,0.47182285651535866,0.7648954087236691,0.7603848460235303,0.7275093357474256,0.7932603562996351,0.8036968576709796,0.7830914291768196,124.9,0.5137917053346043,0.7347035040431267,0.7341919844796174,0.7458524304434833,0.7225315385157517,0.7624572363528187,0.6865791588534691
ResNet-50,resnet50,6,0.46287617190005403,0.7713026922795284,0.7668134050240165,0.7344584732672986,0.7991683367807345,0.810786125910623,0.7878787878787878,125.7,0.506588994500772,0.7587601078167115,0.7509005936239643,0.7951476310368505,0.7066535562110783,0.6413803361594527,0.7867177522349936
ResNet-50,resnet50,7,0.45646922655970834,0.7746955014767263,0.7705012553970373,0.7394758753051749,0.8015266354888997,0.8106339023594651,0.7926217308101212,125.8,0.5044070509084151,0.7404312668463612,0.7403208559025984,0.7456754258550112,0.7349662859501858,0.7944370072884129,0.6837792856228396
ResNet-50,resnet50,8,0.4484566836278379,0.7798457370206742,0.776009625272588,0.7466966229024784,0.8053226276426976,0.811373273893661,0.7993615562601766,125.6,0.5149334782538709,0.7567385444743935,0.7431949174563721,0.802170100832968,0.6842197340797761,0.5817343447865536,0.8305372690592483
ResNet-50,resnet50,9,0.4444053417163584,0.7807244501940491,0.7769499050982086,0.7479341741606925,0.8059656360357247,0.8114602587800369,0.8005449240538917,124.2,0.5011246476533278,0.7626684636118598,0.7618872808630037,0.7755258126195028,0.7482487491065046,0.7785214933809311,0.7202421907251961
ResNet-50,resnet50,10,0.43915215663539325,0.7870585076521273,0.7833304512344735,0.7549093973872735,0.8117515050816736,0.8180711101446124,0.8055287895334147,126.0,0.5902492034788723,0.6963611859838275,0.6924855071540017,0.6579626537118567,0.7270083605961468,0.892458723784025,0.613308800981294
ResNet-50,resnet50,11,0.4334687611083656,0.7896580341233616,0.7858566612451372,0.757325298151251,0.8143880243390232,0.822224638469066,0.8066993812673352,126.7,0.5978024519036079,0.6907681940700808,0.6880668425812626,0.6590385615573222,0.7170951236052031,0.8650899895879816,0.6123394398820804
ResNet-50,resnet50,12,0.42840833433299597,0.7925138519368303,0.7889272323443426,0.7614129138189932,0.816441550869692,0.822202892247472,0.8107603894154479,124.4,0.5128314458375992,0.7588948787061994,0.7469204065538455,0.8019703342926722,0.691870478815019,0.5975011155734047,0.821640417263244
ResNet-50,resnet50,13,0.4257232250390745,0.7936732651517001,0.7901398952703953,0.7629091521050122,0.8173706384357783,0.8227030553441339,0.8121069013630997,124.2,0.5110527351378109,0.7578167115902965,0.7568782470692855,0.7719832508564903,0.7417732432820807,0.7678119886955228,0.7174426685198054
ResNet-50,resnet50,14,0.421602547471345,0.7967243525592521,0.7932245572032981,0.7663234097477483,0.8201257046588479,0.8257257801456996,0.8146010769527814,127.0,0.5253436049361113,0.7453504043126684,0.7452603639721811,0.7500496064554534,0.7404711214889087,0.8018741633199464,0.6878030109721868
