model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
Swin Transformer (scratch),swin_tiny_patch4_window7_224,1,0.693383725361809,0.5462422807488589,0.44237043848568647,0.2017005196032121,0.6830403573681608,0.8711753832771556,0.5617314244850456,198.7,0.7403483182593498,0.4530323450134771,0.3117840745721838,0.0,0.6235681491443676,1.0,0.4530323450134771
Swin Transformer (scratch),swin_tiny_patch4_window7_224,2,0.6883004292427086,0.5553711342722546,0.3992749027552341,0.09305451829723674,0.7054952872132314,0.9489398716972925,0.5614570064718674,193.2,0.7035258907513477,0.4530323450134771,0.3117840745721838,0.0,0.6235681491443676,1.0,0.4530323450134771
Swin Transformer (scratch),swin_tiny_patch4_window7_224,3,0.6869618048654872,0.5596304522931973,0.3712882453702271,0.027176403979402013,0.7154000867610522,0.9862128955094053,0.5612747524752475,185.9,0.7067901035524764,0.4530323450134771,0.3117840745721838,0.0,0.6235681491443676,1.0,0.4530323450134771
Swin Transformer (scratch),swin_tiny_patch4_window7_224,4,0.6862867547517792,0.5610949742488223,0.35990997230635197,0.0010555262353823505,0.7187644183773216,0.999369359573774,0.5611918427158383,190.9,0.710950397995283,0.4528301886792453,0.3116883116883117,0.0,0.6233766233766234,0.999553770638108,0.45292174967985444
Swin Transformer (scratch),swin_tiny_patch4_window7_224,5,0.6862693272027102,0.561192609045864,0.35964327394544837,0.00038922405404654006,0.7188973238368502,0.999804284005654,0.5612167671687703,194.6,0.7143199005538241,0.452088948787062,0.31133695299085806,0.0,0.6226739059817161,0.9979175963111706,0.4525158505328477
Swin Transformer (scratch),swin_tiny_patch4_window7_224,6,0.686256148534132,0.5612170177451243,0.3594740586133846,0.0,0.7189481172267692,1.0,0.5612170177451243,188.3,0.7057968592065363,0.4530323450134771,0.3117840745721838,0.0,0.6235681491443676,1.0,0.4530323450134771
Swin Transformer (scratch),swin_tiny_patch4_window7_224,7,0.6861197524156984,0.5611559959969733,0.3595002411181668,0.00011122851899226962,0.7188892537173414,0.999847776448842,0.5611932282830255,192.2,0.7076403841496799,0.4530323450134771,0.3117840745721838,0.0,0.6235681491443676,1.0,0.4530323450134771
Swin Transformer (scratch),swin_tiny_patch4_window7_224,8,0.6861372123662185,0.5596914740413483,0.37143530641669953,0.027442311839551436,0.7154283009938476,0.9862128955094053,0.5613094869732038,192.2,0.7093571665473383,0.4530323450134771,0.3117840745721838,0.0,0.6235681491443676,1.0,0.4530323450134771
Swin Transformer (scratch),swin_tiny_patch4_window7_224,9,0.6859852706772934,0.5610949742488223,0.35978219096788944,0.0007779722708454892,0.7187864096649333,0.9994780906817441,0.5611843711843711,191.4,0.7130441835305762,0.4530323450134771,0.3117840745721838,0.0,0.6235681491443676,1.0,0.4530323450134771
Swin Transformer (scratch),swin_tiny_patch4_window7_224,10,0.6860419928921352,0.5612048133954941,0.3594690514532293,0.0,0.7189381029064587,0.999978253778406,0.5612116626188413,190.8,0.6973687431561658,0.4530323450134771,0.3117840745721838,0.0,0.6235681491443676,1.0,0.4530323450134771
Swin Transformer (scratch),swin_tiny_patch4_window7_224,11,0.6860595604857136,0.5609851351021504,0.3600434567953318,0.0014434821230290917,0.7186434314676344,0.9990214200282701,0.5611540669622681,193.6,0.7194575882986228,0.4530323450134771,0.3117840745721838,0.0,0.6235681491443676,1.0,0.4530323450134771
