model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
ViT tiny (scratch),vit_tiny_patch16_224,1,0.6257961460941662,0.6012838975810979,0.6007558167451411,0.5862357202563389,0.6152759132339434,0.5680982929216049,0.6709988955384892,122.3,0.5955615195302629,0.7055929919137466,0.6804720146246486,0.7700647334350824,0.5908792958142148,0.46928454558976646,0.7975227502527806
ViT tiny (scratch),vit_tiny_patch16_224,2,0.6043498894916844,0.6355415069930923,0.6350884942628989,0.6222312178214064,0.6479457707043914,0.5976079156246602,0.7075437693099897,115.8,0.6372699933232001,0.6188005390835579,0.6085361913424859,0.545147543619844,0.6719248390651279,0.8616688978134761,0.5506653992395437
ViT tiny (scratch),vit_tiny_patch16_224,3,0.5941354515653257,0.6478190827210818,0.6458853275039069,0.6197171962099548,0.6720534587978589,0.6429922800913341,0.7038659302989907,114.9,0.6115141834852831,0.6362533692722372,0.6253645158861441,0.5614947197400487,0.6892343120322395,0.8903763200951956,0.5622241006856391
ViT tiny (scratch),vit_tiny_patch16_224,4,0.5857771503055019,0.6574605189289463,0.6545218633060198,0.6226590123821943,0.6863847142298453,0.6679134500380559,0.7059066881176741,125.9,0.566809031616324,0.703167115902965,0.7015777631713492,0.7233561514789927,0.6797993748637058,0.6955228320690168,0.6647711117429628
ViT tiny (scratch),vit_tiny_patch16_224,5,0.5761865757722374,0.6680416900583368,0.6649030163106853,0.6324721651713329,0.6973338674500378,0.6813961074263347,0.7140350477405829,127.1,0.6669352539466077,0.5643530997304582,0.521796814950446,0.3791414577931432,0.664452172107749,0.952104715156924,0.5102838010204082
ViT tiny (scratch),vit_tiny_patch16_224,6,0.5716657694635114,0.6737777343845347,0.6707042788075588,0.6388911404717517,0.7025174171433659,0.6863542459497662,0.7194602110829971,124.5,0.6090695373774218,0.6511455525606469,0.6511200011011333,0.6481343029973493,0.6541056992049175,0.7280975754871337,0.5937651625424551
ViT tiny (scratch),vit_tiny_patch16_224,7,0.5674416193963494,0.6761819912616857,0.6735502259028787,0.6442391493812097,0.7028613024245478,0.6824181798412526,0.7245670745786192,115.2,0.5663690721570963,0.694743935309973,0.6947434862109108,0.6943732289839428,0.6951137434378786,0.7681094749367842,0.6347879532882607
ViT tiny (scratch),vit_tiny_patch16_224,8,0.5627486417438977,0.6835046010398106,0.6809436152443819,0.6523586739413113,0.7095285565474524,0.6887680765467,0.7315794336397653,119.1,0.5559846142874253,0.727021563342318,0.7163302325399454,0.771401162462615,0.6612593026172757,0.5881302989736724,0.7551566080977846
ViT tiny (scratch),vit_tiny_patch16_224,9,0.560360473650015,0.6844443359613366,0.6816710079749838,0.6519585408534123,0.7113834750965553,0.6929433510927476,0.7308318616545492,130.2,0.5944092495743476,0.6523584905660378,0.6461287653397256,0.5991764431668091,0.6930810875126421,0.8664286776736576,0.5775332143565338
ViT tiny (scratch),vit_tiny_patch16_224,10,0.557422029732459,0.689741023700847,0.6871673543471342,0.6587925804633183,0.71554212823095,0.6953136892464934,0.7369828281664169,118.4,0.6240723381145302,0.6262803234501347,0.6158964307048984,0.552741935483871,0.679050925925926,0.8726758887401458,0.5557450033153358
ViT tiny (scratch),vit_tiny_patch16_224,11,0.5555552361281763,0.6915350630964876,0.688916911532268,0.6603781190792921,0.7174557039852439,0.6978362509513972,0.7382102599493904,102.7,0.607327558955735,0.6417115902964959,0.636367706947478,0.5922858676481865,0.6804495462467697,0.8420348058902276,0.5708955223880597
ViT tiny (scratch),vit_tiny_patch16_224,12,0.5532858374964434,0.6922917327735605,0.6895666434416479,0.6604812755012726,0.7186520113820231,0.700250081548331,0.738047215218886,97.4,0.5383667480592137,0.7223719676549866,0.7092206347502077,0.7710602356079129,0.6473810338925026,0.5625464822251971,0.762346301148962
ViT tiny (scratch),vit_tiny_patch16_224,13,0.5502697397779518,0.6952940027825917,0.6926673464037316,0.6642550730874225,0.7210796197200406,0.7018158095030989,0.7414308031611836,97.9,0.5562143084013237,0.709299191374663,0.6867446944422311,0.7708001275103602,0.6026892613741021,0.48668749070355494,0.7912938331318017
ViT tiny (scratch),vit_tiny_patch16_224,14,0.5480262276184661,0.6979667553516073,0.6955140590431084,0.6681862061568165,0.7228419119294002,0.7017940632815048,0.7451913085644353,121.2,0.6136240627887757,0.622911051212938,0.6113638571247448,0.5443738804754926,0.678353833773997,0.8777331548415885,0.5527868852459017
ViT tiny (scratch),vit_tiny_patch16_224,15,0.5444915775846081,0.70105445580805,0.698180944747385,0.6687313200708654,0.7276305694239045,0.711514624334022,0.7444934923090926,119.6,0.6264666914618562,0.6151617250673854,0.609053181020836,0.5601848286484405,0.6579215333932316,0.8168972185036442,0.5507420778178901
ViT tiny (scratch),vit_tiny_patch16_224,16,0.5423370018583595,0.703690595328175,0.7009689862892392,0.6724410086210386,0.7294969639574397,0.7119278025443079,0.747955220470642,123.5,0.574511571971554,0.6817385444743935,0.6797785853714211,0.7048309480657459,0.6547262226770962,0.666071694184144,0.6437607820586544
ViT tiny (scratch),vit_tiny_patch16_224,17,0.5392086060058964,0.7082306133906124,0.7053719829166898,0.6763507384894473,0.7343932273439323,0.7187343699032294,0.7507495911321097,112.1,0.5629329922706933,0.690633423180593,0.6889646356078974,0.7117473472719281,0.6661819239438668,0.6813922356091031,0.6516358463726885
ViT tiny (scratch),vit_tiny_patch16_224,18,0.5385235362232275,0.7091703483121384,0.7061331730907715,0.676258015433105,0.736008330748438,0.722387735131021,0.7501524286972427,118.3,0.5514633713224828,0.7084905660377359,0.6835778849263576,0.7723637129025468,0.5947920569501686,0.47225940800237987,0.8031874525676701
