model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
ViT tiny (tuned),vit_tiny_patch16_224,1,0.5328520133656007,0.7124411140130342,0.70831275207298,0.6736113035046405,0.7430142006413193,0.7407197999347613,0.7453228594560294,163.2,0.5503539871816044,0.6927897574123989,0.6889867404268504,0.6545950450791727,0.7233784357745282,0.8866577420794288,0.6108833777413404
ViT tiny (tuned),vit_tiny_patch16_224,2,0.498946026958002,0.7413166052381068,0.7365460383270912,0.7010943140794224,0.7719977625747602,0.7803414156790258,0.7638306477362226,161.1,0.5323329393915089,0.7075471698113207,0.706500990126695,0.6889780708040705,0.7240239094493196,0.846794585750409,0.6323447739642342
ViT tiny (tuned),vit_tiny_patch16_224,3,0.48496580295212527,0.7511899240889452,0.7463005689257296,0.7110808780805805,0.7815202597708787,0.7929324779819507,0.7704318796484111,161.6,0.5189039197411499,0.7152964959568733,0.7143213983187278,0.6976311457811494,0.7310116508563061,0.8539342555406813,0.6390249332146037
ViT tiny (tuned),vit_tiny_patch16_224,4,0.4738137913512888,0.7604164124093827,0.755591124132273,0.7212495562655307,0.7899326919990155,0.8026530390344677,0.7776092360847765,143.5,0.5205613779732481,0.7187331536388141,0.7180805437191036,0.7045164944074755,0.7316445930307316,0.846348356388517,0.6443211414335862
ViT tiny (tuned),vit_tiny_patch16_224,5,0.46689994836552495,0.7650296565696014,0.7603207318159668,0.726725618497438,0.7939158451344958,0.8064586278134174,0.7817572410303976,127.0,0.48164933530307524,0.7606469002695417,0.7528854659936515,0.7966800228963938,0.7090909090909091,0.643908969210174,0.7889557135046473
ViT tiny (tuned),vit_tiny_patch16_224,6,0.45731163844213424,0.7701798921135493,0.7655183710516404,0.7324571996874334,0.7985795424158475,0.811786452103947,0.7857954784658779,131.8,0.4961439112126024,0.7352425876010782,0.7352407590270817,0.7359365548759997,0.7345449631781636,0.8085676037483266,0.6729388462490715
ViT tiny (tuned),vit_tiny_patch16_224,7,0.4524044428231581,0.7723156532988357,0.7678646687604815,0.7357207615593835,0.8000085759615797,0.811438512558443,0.7888961711664094,105.8,0.5221826932179638,0.7245956873315363,0.7243984473871077,0.717025548708717,0.7317713460654984,0.8292428975159899,0.6548038524782711
ViT tiny (tuned),vit_tiny_patch16_224,8,0.4475344326389395,0.7731943664722107,0.7689231047166021,0.7375067092290742,0.8003395002041299,0.8099815157116451,0.7909243411972056,95.2,0.5241327902538114,0.7299865229110513,0.7295748650808287,0.7190239113666643,0.7401258187949932,0.8487282463186078,0.656163753449862
ViT tiny (tuned),vit_tiny_patch16_224,9,0.44169284044807333,0.7778198149820597,0.7736806874610915,0.7430740787783846,0.8042872961437986,0.8134609111666848,0.7953182803929073,93.1,0.5139592655264142,0.737601078167116,0.7375649993366798,0.7406420674037565,0.7344879312696032,0.8011304477167931,0.6780813294724916
ViT tiny (tuned),vit_tiny_patch16_224,10,0.4361961550021114,0.7818716590592887,0.7780433884378064,0.7488936032707195,0.8071931736048933,0.8135913884962488,0.8008948066960654,94.5,0.4991493072310548,0.745754716981132,0.7450192617945655,0.7587133081793183,0.7313252154098128,0.7637959244384948,0.7015027322404371
ViT tiny (tuned),vit_tiny_patch16_224,11,0.4328757356860022,0.7831042983719397,0.7795153044534696,0.7513849252979687,0.8076456836089705,0.811351527672067,0.803973538474799,93.2,0.5424868391369874,0.7172506738544474,0.7165534713002916,0.7024957458876915,0.7306111967128917,0.846348356388517,0.6427199819270304
ViT tiny (tuned),vit_tiny_patch16_224,12,0.42761596597434864,0.7865215162683981,0.7827854736679778,0.7542982357568266,0.8112727115791291,0.8175709470479504,0.8050707723934132,92.5,0.5390315827494362,0.732277628032345,0.7322749425831881,0.7314270262962211,0.7331228588701552,0.8116912092815707,0.668422341989221
