model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
EfficientNet-B0,efficientnet_b0,1,0.8659970996733037,0.6810393224145085,0.6766589228444557,0.6390243228684687,0.7142935228204428,0.7104490594759161,0.7181798197406023,244.5,0.6158195336873962,0.6535714285714286,0.6528360546562277,0.636858091403546,0.6688140179089094,0.7721255391938123,0.5898863636363636
EfficientNet-B0,efficientnet_b0,2,0.5327313602459509,0.7344577607459298,0.7296722054554009,0.6937046004842615,0.7656398104265403,0.7728824616722845,0.758531640166471,160.3,0.541464600199959,0.7241913746630728,0.7226592400491905,0.7432729097409522,0.7020455703574289,0.7172393276810948,0.6874821785001426
EfficientNet-B0,efficientnet_b0,3,0.5010490027676654,0.7480412018843516,0.7431360155315482,0.707640019825816,0.7786320112372803,0.789561813634881,0.7680006768762163,162.3,0.49904043232655587,0.7555929919137466,0.7479937125263076,0.7917551817190102,0.7042322433336051,0.6422727948832366,0.7794223826714801
EfficientNet-B0,efficientnet_b0,4,0.48252782754672974,0.7614415777783202,0.7565925528434142,0.7222372216617169,0.7909478840251115,0.8041317821028596,0.7781893177322278,164.0,0.5149198303486138,0.7355795148247979,0.7354549648750104,0.7297148367543739,0.741195092995647,0.8357875948237394,0.6658371845005332
EfficientNet-B0,efficientnet_b0,5,0.4694019502077061,0.7688252093045962,0.7641154814742783,0.7307845366685617,0.7974464262799948,0.8108513645754051,0.7844774988954577,163.8,0.5347881678461707,0.743733153638814,0.7435402500839419,0.7505738833868958,0.736506616780988,0.7905696861520155,0.6893644617380026
EfficientNet-B0,efficientnet_b0,6,0.45754199696790626,0.7775879323390856,0.7732821028744068,0.742037765761685,0.8045264399871286,0.8155485484397086,0.7937982855328606,163.0,0.5516491939758034,0.7297843665768194,0.7296648731910182,0.7239812775330396,0.7353484688489969,0.8286479250334672,0.6609324949578835
EfficientNet-B0,efficientnet_b0,7,0.4478012371295721,0.7824330591422783,0.7785318513034544,0.7491380887381619,0.8079256138687468,0.8153310862237686,0.8006534551977449,161.8,0.5414629569593465,0.7297169811320755,0.729661288256165,0.7257810897655022,0.7335414867468278,0.8212107690019337,0.6627851140456182
EfficientNet-B0,efficientnet_b0,8,0.4390628242449612,0.7886450731040543,0.7848318025325993,0.7561875263972969,0.8134760786679017,0.8212243122757421,0.8058726873092764,165.3,0.5475285423251818,0.7490566037735849,0.7489498617293034,0.754126502046745,0.7437732214118619,0.8039565670087758,0.6919728587888875
EfficientNet-B0,efficientnet_b0,9,0.43192710084563546,0.7906465864434085,0.7870613843291352,0.7594311839115923,0.8146915847466782,0.8200065238664782,0.8094451003541913,163.3,0.5698381039411874,0.7315363881401618,0.731190926853562,0.7215543751747274,0.7408274785323966,0.8469433288710397,0.6583420048560528
EfficientNet-B0,efficientnet_b0,10,0.4232157895436946,0.7967487612585126,0.7933131910595959,0.7666657326197215,0.8199606494994702,0.8247037077307818,0.8152718361029301,149.6,0.5273943138572404,0.7426549865229111,0.7426533867656008,0.7420117543741134,0.7432950191570882,0.822400713966979,0.6780721118469463
EfficientNet-B0,efficientnet_b0,11,0.41671356883454397,0.8022407185921062,0.79889797934008,0.7729705494998179,0.8248254091803421,0.8295966075894313,0.8201087774362061,163.4,0.6026338279889921,0.7307951482479784,0.730500126693006,0.7215833856017841,0.739416867784228,0.8430760077346423,0.658457249070632
EfficientNet-B0,efficientnet_b0,12,0.4114128724633505,0.8051819668529864,0.8019199318839851,0.7765005670442294,0.8273392967237407,0.8316842448624552,0.8230395110613755,162.6,0.5758169241992611,0.7390835579514825,0.7390735296820861,0.7374559262272851,0.7406911331368872,0.8225494570876097,0.6736508709952491
