png_path,tif_source,label_int,gx,gy,split_bloque
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0032_lat-4.50155_lon-57.96496_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,32,0,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0033_lat-4.50155_lon-57.95346_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,33,0,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0062_lat-4.50155_lon-57.62001_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,62,0,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0063_lat-4.50155_lon-57.60851_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,63,0,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0096_lat-4.50155_lon-57.22906_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,96,0,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0000_c0097_lat-4.50155_lon-57.21756_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,97,0,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0001_c0032_lat-4.51305_lon-57.96496_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,32,1,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0001_c0033_lat-4.51305_lon-57.95346_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,33,1,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0001_c0062_lat-4.51305_lon-57.62001_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,62,1,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0001_c0063_lat-4.51305_lon-57.60851_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,63,1,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0001_c0096_lat-4.51305_lon-57.22906_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,96,1,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0001_c0097_lat-4.51305_lon-57.21756_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,97,1,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0002_c0032_lat-4.52454_lon-57.96496_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,32,2,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0002_c0033_lat-4.52454_lon-57.95346_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,33,2,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0002_c0062_lat-4.52454_lon-57.62001_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,62,2,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0002_c0063_lat-4.52454_lon-57.60851_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,63,2,train
sem_garimpo/v3_new_ret_s2_median_2024_dry-0000000000-0000000000_r0002_c0096_lat-4.52454_lon-57.22906_sem_garimpo.png,v3_new_ret_s2_median_2024_dry-0000000000-0000000000.tif,0,96,2,train
