model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
ResNet-50 (v2 bloques),resnet50,1,0.5560364122696596,0.7030953179126159,0.7019468660324224,0.7204482087432269,0.6834455233216179,0.647168321299639,0.7240313012747697,143.1,0.4653985135700183,0.7684344351616419,0.7655473125933971,0.7915644923982345,0.7395301327885597,0.6429078853895335,0.870331783939734
ResNet-50 (v2 bloques),resnet50,2,0.5070931565123492,0.7389373114314448,0.73883572067843,0.7439866308695414,0.7336848104873184,0.7261112364620939,0.741418039396383,112.7,0.4322600270540175,0.7872623804334665,0.7858445879549549,0.8032695106930915,0.7684196652168183,0.6902675822874733,0.8665279429250892
ResNet-50 (v2 bloques),resnet50,3,0.4936710664687549,0.7468571907475695,0.7468125147479099,0.7501757578263927,0.7434492716694271,0.7406080776173285,0.7463123490123632,115.3,0.4180476838847543,0.7991282237559026,0.7987932216965578,0.8070032573289903,0.7905831860641253,0.7415344541794933,0.8465801567991349
ResNet-50 (v2 bloques),resnet50,4,0.48327990773936624,0.7529472566767237,0.7529235681327925,0.7553428409389568,0.7505042953266282,0.7502820397111913,0.7507266826583886,113.9,0.4170206600376387,0.8046979053154135,0.8046704032524106,0.802352652861169,0.8069881536436521,0.7984844896992659,0.8156748911465893
ResNet-50 (v2 bloques),resnet50,5,0.47398692828368205,0.7581433679740753,0.7581227489097702,0.7603559713783511,0.7558895264411893,0.7560920577617328,0.7556871035940803,116.7,0.4242034977105068,0.7890180409250515,0.7868576149205071,0.8083163742368407,0.7653988556041736,0.6730996921619702,0.8870338586362927
ResNet-50 (v2 bloques),resnet50,6,0.4657944366510706,0.7639820091630349,0.7639576686500438,0.7663546232663615,0.761560714033726,0.7610559566787004,0.7620661413764862,114.1,0.39228466027209363,0.8076643661460225,0.8073797008137895,0.8147845857867428,0.7999748158408361,0.7521903859815298,0.854242302003496
ResNet-50 (v2 bloques),resnet50,7,0.4607713323942788,0.7682562297463403,0.7682315344505621,0.770623937177697,0.7658391317234273,0.765201940433213,0.7664773850891319,115.5,0.4395450989073335,0.7940428623320015,0.7926948195319219,0.8094117647058824,0.7759778743579613,0.697608335306654,0.8741839762611276
ResNet-50 (v2 bloques),resnet50,8,0.4542660430658195,0.77248854620628,0.7724599915118944,0.775008978644639,0.7699110043791496,0.7685864169675091,0.7712401652799004,114.1,0.4228414389336278,0.7888364208741978,0.7854208122398886,0.8124932802924417,0.7583483441873354,0.6479990528060621,0.913994655978624
ResNet-50 (v2 bloques),resnet50,9,0.4506418156362749,0.7730193317689127,0.7730113700502605,0.7743556987336148,0.7716670413669064,0.7744528429602888,0.7689012096774194,112.1,0.39900828355420137,0.8066957258748032,0.8066903632540272,0.8077085215296598,0.8056722049783945,0.7836845844186597,0.8289292423293676
ResNet-50 (v2 bloques),resnet50,10,0.4446726180825344,0.7789138451223601,0.778899532947399,0.7806784170269372,0.7771206488678608,0.7782603790613718,0.775984251968504,111.6,0.4101979162736614,0.8028817048068774,0.8014057545700641,0.818526362724334,0.7842851464157944,0.7008051148472649,0.8903429602888087
ResNet-50 (v2 bloques),resnet50,11,0.44026589838535857,0.7809252430439155,0.7809112573786255,0.7826617149825398,0.7791607997747113,0.7803474729241877,0.7779777302890564,112.0,0.4169537967104992,0.7957985228235864,0.7957985160878283,0.7957614290039358,0.7958356031717209,0.7783566185176415,0.8141176470588235
ResNet-50 (v2 bloques),resnet50,12,0.4358396656767112,0.7820706224159124,0.782054591605573,0.7839237736476193,0.7801854095635268,0.7809115523465704,0.7794606159563088,114.9,0.4206012091634926,0.7948904225693183,0.7939260049099262,0.8080235720761559,0.7798284377436964,0.7103954534690978,0.8643042350907519
ResNet-50 (v2 bloques),resnet50,13,0.4336697055728945,0.7855207285730249,0.7855005138928259,0.787582829554415,0.7834181982312368,0.7832524819494585,0.783583984650546,116.4,0.4176915565967733,0.7898050611454172,0.7893567882429269,0.7796395024117796,0.799074074074074,0.8174283684584419,0.7815259225718814
