model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,1,0.5127182310553873,0.7280422393563527,0.7275796937941531,0.738804969010759,0.7163544185775472,0.693422833935018,0.7408545772313626,179.6,0.4017171800418027,0.8054849255357791,0.8050125658859631,0.8146096589925567,0.7954154727793696,0.7395216670613308,0.8604490976718556
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,2,0.47321008169953416,0.7568303721086155,0.7567743009463663,0.7604672601439205,0.7530813417488121,0.7487590252707581,0.7574538503238324,175.5,0.41006502482775326,0.7974331032812689,0.7920401348655307,0.7585510174628374,0.825529252268224,0.9372484016102297,0.7376071561684682
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,3,0.4578860128294863,0.7667337132640518,0.7666958530430357,0.7696678803928059,0.7637238256932655,0.7612251805054152,0.7662389280036339,172.9,0.40039862046621083,0.8007628042135851,0.8004679242613097,0.8081385180434909,0.7927973304791286,0.7454416291735733,0.8465779212047869
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,4,0.4465829036544589,0.776022460610124,0.7759955287090474,0.7784517180872377,0.7735393393308572,0.772393953068592,0.7746881276342961,167.0,0.3741128716822152,0.8096621867054122,0.8092752517209654,0.800684670977558,0.8178658324643726,0.8357802510063935,0.8007032667876588
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,5,0.4379040663276175,0.7803944574812828,0.7803759049666814,0.7823944636678201,0.7783573462655426,0.7785988267148014,0.778116015558938,165.8,0.38869811342074023,0.8040319651289503,0.8028831796571277,0.7878350920888773,0.8179312672253782,0.8608808903623016,0.7790635379834994
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,6,0.429150651707864,0.7848502625991731,0.7848321417249474,0.7868067378095198,0.782857545640375,0.7831114620938628,0.7826037937935116,167.3,0.39877646587015947,0.7998547039593171,0.7961797190853552,0.7688111888111888,0.8235482493595218,0.913450153919015,0.749757045675413
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,7,0.42313139718902193,0.7881327522628226,0.7881127262558882,0.7901726427622842,0.7860528097494922,0.7858754512635379,0.7862302483069977,165.8,0.4103145499555059,0.7876256205351737,0.7831616862796238,0.7520497596833474,0.8142736128759,0.9104901728628937,0.7364489561386708
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,8,0.41385980989962584,0.7948653480835848,0.7948550190585404,0.7963106796116505,0.7933993585054302,0.7953237815884476,0.7914842258897496,176.0,0.3768532019808125,0.8081486862816322,0.8062174246562028,0.7868720156029323,0.8255628337094733,0.8878759175941274,0.771422693138566
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,9,0.4078169651991403,0.7992652810369874,0.7992405249888501,0.8014698771878929,0.7970111727898075,0.7957186371841155,0.7983079143204777,205.0,0.44741369778285206,0.7741857367720063,0.769625453537173,0.7372129068620544,0.8020380002122917,0.8946246744020838,0.7268180069257407
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,10,0.40256990387441327,0.803986478936194,0.8039760176858434,0.8054080288428205,0.8025440065288663,0.8043208483754513,0.8007749978940275,205.0,0.4341128802440951,0.7883521007385882,0.7863726891953033,0.7658092175777064,0.8069361608129004,0.8650248638408714,0.7561581453115297
Swin Transformer (v2 bloques),swin_tiny_patch4_window7_224,11,0.3969909144268447,0.8067102469549671,0.8066923945459885,0.8085500830105147,0.8048347060814622,0.8047439079422383,0.8049255247122545,179.4,0.42390888995762843,0.7898050611454172,0.7873411097709371,0.7644504748982361,0.810231744643638,0.8775751835188255,0.75248730964467
