lado_bloque,lado_km,buffer_chips,n_bloques,pct_descartado,n_train,com_pct_train,n_val,com_pct_val,n_test,com_pct_test,rango_com_pct
16,20.5,0,440,0.0,78128,49.9,16704,50.6,16752,48.4,2.2
16,20.5,1,440,5.77,72292,50.0,16105,50.2,16752,48.4,1.8
16,20.5,2,440,11.71,66288,50.3,15480,49.7,16752,48.4,1.9
16,20.5,4,440,24.11,53776,50.8,14152,48.6,16752,48.4,2.4
24,30.7,0,210,0.0,77744,49.7,16896,49.3,16944,50.6,1.4
24,30.7,1,210,3.81,73860,49.6,16528,49.0,16944,50.6,1.6
24,30.7,2,210,7.74,69864,49.6,16144,48.9,16944,50.6,1.8
24,30.7,4,210,15.93,61536,49.4,15328,48.5,16944,50.6,2.1
32,41.0,0,110,0.0,77152,49.5,17120,50.8,17312,50.2,1.4
32,41.0,1,110,2.73,74395,49.5,16827,51.0,17312,50.2,1.5
32,41.0,2,110,5.52,71592,49.5,16518,51.1,17312,50.2,1.6
32,41.0,4,110,11.27,65848,49.7,15852,51.2,17312,50.2,1.5
48,61.4,0,56,0.0,76544,51.2,16896,43.3,18144,50.0,7.9
48,61.4,1,56,2.15,74452,51.2,16592,43.1,18144,50.0,8.1
48,61.4,2,56,4.3,72356,51.2,16288,43.1,18144,50.0,8.2
48,61.4,4,56,8.61,68152,51.3,15680,42.7,18144,50.0,8.6
