model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,1,1.0298857034711362,0.6633841770030171,0.6630427211964299,0.6737691380920794,0.6523163043007805,0.6376071750902527,0.6677201169625189,201.3,0.6811369942946156,0.7665576946361545,0.7650343691798487,0.7839533841326759,0.7461153542270214,0.670850106559318,0.840403441115396
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,2,0.5393432788255295,0.7249133981450442,0.7246946582639371,0.7324548295068605,0.7169344870210136,0.7034070397111913,0.730992438009262,141.4,0.42655543656596867,0.7996730839084635,0.7987461677339764,0.8124043313112989,0.7850880041566539,0.7156050201278712,0.8695151776722774
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,3,0.49586267799808403,0.7472902000223489,0.7472222255117298,0.7513673968611714,0.7430770541622881,0.7379004963898917,0.7483267547623134,146.9,0.42913515183983075,0.7929531420268797,0.7912269088333155,0.8102108768035516,0.7722429408630794,0.6864788065356382,0.882496194824962
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,4,0.4806671272857134,0.7536456587328193,0.7536161869297813,0.7563108808290155,0.750921493030547,0.7498307761732852,0.7520153876615846,149.0,0.4259155510571465,0.799552003874561,0.7994685344525959,0.7953772943575799,0.803559774547612,0.8017996684821217,0.8053276251635153
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,5,0.46682059917387075,0.7646804112191307,0.7646683279034789,0.7663546217321962,0.7629820340747618,0.764778880866426,0.7611936108693821,140.1,0.4026158097826954,0.8143237680106551,0.8140776373882063,0.820842338921666,0.8073129358547465,0.7607151314231589,0.8599919689465935
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,6,0.45735791435800116,0.7721393451782322,0.7721265244304198,0.7738357664739564,0.7704172823868835,0.771970893501805,0.7688699120761819,143.2,0.41731008453914165,0.8010655042983412,0.8008815949033341,0.7948301698301699,0.8069330199764982,0.8130475964953824,0.8009097270818755
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,7,0.44928840074156606,0.7766510224606101,0.7766405591893731,0.7781693071779362,0.7751118112008101,0.7771886281588448,0.7730460640745105,142.0,0.417195954324547,0.7968882431287081,0.7962982003981025,0.8072614465444936,0.7853349542517115,0.7266161496566422,0.8543783934289294
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,8,0.44096857953076923,0.7828248966364957,0.7828136141970472,0.7843789870749431,0.7812482413191514,0.7830550541516246,0.779449747332959,142.5,0.42938187875359696,0.7792710981959075,0.777710553900812,0.7590855028412845,0.7963356049603396,0.8439497987212882,0.7538071065989848
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,9,0.4362642284757879,0.7845988378589787,0.7845840584102187,0.7863683590773707,0.7827997577430668,0.7837601534296029,0.7818417128548518,142.7,0.46523648278160984,0.7793316382128587,0.7784139524023308,0.7641539954707215,0.79267390933394,0.8250059199621123,0.7627805145046525
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,10,0.4268143531769691,0.790646999664767,0.7906390915683277,0.7919258107507774,0.7893523723858781,0.7920239169675091,0.7866987897803676,142.8,0.40799254272099283,0.7988255236711467,0.7985831473855324,0.8055701831373238,0.791596111633741,0.747217617807246,0.8415788771836245
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,11,0.42221842048980496,0.7937898089171974,0.7937830125146845,0.7949668763801508,0.7925991486492182,0.795605821299639,0.7896151154653603,142.6,0.42785143137035886,0.7941639423659038,0.7938387804080016,0.8020263188540817,0.7856512419619216,0.737745678427658,0.8402103559870551
EfficientNet-B0 (v2 bloques tuned),efficientnet_b0,12,0.41679330537646614,0.7982316459939658,0.7982143403260515,0.8000830392360391,0.7963456414160639,0.7965365523465704,0.7961548219772785,142.0,0.4080876765910499,0.7992493037898051,0.7992468286286634,0.7999517374517374,0.7985419198055893,0.7781198200331518,0.8200648864487148
