model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
ResNet-50 (v2 bloques tuned),resnet50,1,0.5554646603793908,0.7047295787238798,0.7033324559418961,0.723691262009019,0.6829736498747732,0.6422044223826715,0.7292700893572046,137.6,,0.8046373652984623,0.8043572680582325,0.8117599020008167,0.7969546341156484,0.7498224011366327,0.8504095608970055
ResNet-50 (v2 bloques tuned),resnet50,2,0.506836946789333,0.7384065258688122,0.7383140259023064,0.7432339795442705,0.7333940722603423,0.7265060920577617,0.7404139120436907,111.7,,0.7997336239254147,0.7989086317282005,0.8117888029130633,0.7860284605433376,0.7193937958797064,0.8662674650698603
ResNet-50 (v2 bloques tuned),resnet50,3,0.49235737711400984,0.7491479494915633,0.7490998745021396,0.7525729165231528,0.7456268324811264,0.7423567238267148,0.7489258785033432,113.6,0.411989273307889,0.7974936432982201,0.7967885298875115,0.808758790234978,0.7848182695400451,0.7222353776935828,0.859275954359769
ResNet-50 (v2 bloques tuned),resnet50,4,0.4796986851509436,0.7565091071628115,0.7564802007305773,0.7591333664953297,0.753827034965825,0.7527639891696751,0.7548930874533318,101.3,0.4162940217545368,0.798946603705049,0.7975723364796119,0.81425135633984,0.7808933166193838,0.7006867156050202,0.881835791983311
ResNet-50 (v2 bloques tuned),resnet50,5,0.4697720604191174,0.7621661638171863,0.7621572206773494,0.7636156654773639,0.7606987758773348,0.7632840703971119,0.7581309353727204,93.2,0.41836400823885284,0.8084513863663881,0.8077858020649833,0.8190966266437965,0.79647497748617,0.7330097087378641,0.8719718309859155
ResNet-50 (v2 bloques tuned),resnet50,6,0.46548328571232195,0.7652251648228853,0.7652107991761857,0.767047344494955,0.7633742538574164,0.7646660649819494,0.7620868000899483,90.6,0.4083091237958111,0.7957379828066352,0.7952504789513012,0.8052412837681828,0.7852596741344195,0.7304049254084773,0.8490228461326728
ResNet-50 (v2 bloques tuned),resnet50,7,0.4560557955975692,0.7717203039445748,0.7717162686154336,0.772676060256214,0.7707564769746532,0.7748759025270758,0.7666806195060695,91.7,0.38057413576359117,0.8122654074343141,0.8122543089800525,0.8108108108108109,0.8136978071492941,0.8017996684821217,0.8259543846810586
ResNet-50 (v2 bloques tuned),resnet50,8,0.4518763558373583,0.7736758297016426,0.7736732649757674,0.7744351481909428,0.772911381760592,0.7776962996389891,0.7681849839810558,89.7,0.39017290712658637,0.803366024942487,0.8024348710182262,0.7888715548621945,0.8159981871742579,0.8527113426474071,0.7823158809472084
ResNet-50 (v2 bloques tuned),resnet50,9,0.44792094029771745,0.7763995977204157,0.7763902048615958,0.7778394581991784,0.7749409515240131,0.7773014440433214,0.7725947521865889,89.5,0.38638147318791877,0.8182588691124834,0.8180974875263323,0.81267939598153,0.8235155790711346,0.8292682926829268,0.8178421298458665
ResNet-50 (v2 bloques tuned),resnet50,10,0.44118906538744107,0.7816096770588893,0.7815875247509455,0.78378714753917,0.779387901962721,0.778937274368231,0.7798390512494706,89.2,0.39339208244223733,0.8024579246882189,0.802165553589989,0.7945602216206007,0.8097708855593774,0.8222827373904807,0.7976340875157919
ResNet-50 (v2 bloques tuned),resnet50,11,0.4380444639394344,0.7824896636495697,0.7824695742065423,0.7845600442722744,0.7803791041408101,0.7802910649819494,0.780467163168585,89.3,0.4147076139887131,0.7928320619929774,0.792715320722756,0.7976345357776463,0.7877961056678655,0.7520719867392849,0.8270833333333333
ResNet-50 (v2 bloques tuned),resnet50,12,0.4357659278508471,0.784878198681417,0.784861166562372,0.7867753949244763,0.7829469382002677,0.7834217057761733,0.7824727457111468,89.3,0.38910622783081916,0.8122048674173629,0.812126201847629,0.8159705742762221,0.8082818294190358,0.7742126450390717,0.8454874579777606
ResNet-50 (v2 bloques tuned),resnet50,13,0.43368451231510924,0.7850458151748799,0.7850280399623042,0.7869828218650942,0.7830732580595142,0.7833935018050542,0.7827532760321263,89.5,0.38408704611013494,0.8105097469427291,0.810509735830736,0.8104638488555165,0.8105556228059557,0.7928013260715131,0.8291233283803864
ResNet-50 (v2 bloques tuned),resnet50,14,0.428956948521284,0.7886076656609677,0.7885909813317264,0.7904690701666943,0.7867128924967586,0.7872010379061372,0.7862253521126761,90.5,0.3949081856382573,0.8016709044678533,0.8010986486006464,0.7904298874104401,0.8117674097908527,0.8363722472176178,0.788568876981469
ResNet-50 (v2 bloques tuned),resnet50,15,0.422367237002933,0.7938456810816851,0.7938325662327796,0.7954769064479027,0.7921882260176567,0.7934059115523465,0.7909742724588781,90.8,0.3985003970093409,0.8053638455018768,0.8053606431773426,0.8061501356647574,0.8045711506899277,0.7835661851764149,0.826733291692692
ResNet-50 (v2 bloques tuned),resnet50,16,0.4212559162737844,0.7933009274779305,0.7932836769942024,0.7951720510478089,0.791395302940596,0.7916854693140795,0.7911053491911392,89.3,0.4012969905563093,0.8004601041288292,0.7998712461188091,0.789015490974267,0.8107270012633513,0.8357802510063935,0.7871320249776985
