model,timm_name,epoch,train_loss,train_accuracy,train_macro_f1,train_f1_sem_garimpo,train_f1_com_garimpo,train_recall_com_garimpo,train_precision_com_garimpo,train_time_s,val_loss,val_accuracy,val_macro_f1,val_f1_sem_garimpo,val_f1_com_garimpo,val_recall_com_garimpo,val_precision_com_garimpo
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,1,0.5209806167635788,0.7273857414236228,0.7272053506028223,0.7342203096700394,0.7201903915356053,0.7083991425992779,0.732380813529669,80.1,0.40481351271049787,0.8068773459256569,0.806703055545011,0.800898764199226,0.8125073468907958,0.8183755623964006,0.8067226890756303
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,2,0.4846972236021602,0.7508799865906806,0.7508444501599976,0.7538200339558574,0.7478688663641376,0.7460232400722022,0.7497236472889091,79.9,0.4164642890222224,0.795677442789684,0.7931859436742136,0.7704862291737504,0.8158856581746767,0.8853895335069856,0.7564997470915529
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,3,0.47230980313414367,0.7575008380824673,0.7574881911561886,0.7592394846690427,0.7557368976433345,0.7574740523465704,0.7540076925236531,80.0,0.3965422043804395,0.7982201235016346,0.7969760979612699,0.8128684520801752,0.7810837438423646,0.704001894387876,0.877120519250627
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,4,0.46340916215114614,0.7640937534920103,0.7640890107527814,0.7651467745748335,0.7630312469307292,0.766894178700361,0.7592070361580343,79.8,0.400199238671447,0.7997336239254147,0.7974073801189823,0.7756983997830215,0.8191163604549432,0.8868103244139237,0.7610241820768137
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,5,0.45494275455275573,0.7691501843781428,0.769148024183745,0.7698542006099344,0.7684418477575554,0.7734375,0.7635103154495085,79.8,0.4018649763728418,0.794224482382855,0.7941315238717318,0.7897569122286139,0.7985061355148497,0.7974188965190623,0.7995963433456014
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,6,0.44935588119202907,0.7723768018773047,0.7723721397251162,0.7734023026864676,0.7713419767637649,0.7752143501805054,0.767508097844298,80.1,0.38559875352314243,0.8117810872987045,0.8117753745607577,0.8107384184574177,0.8128123306640977,0.7991948851527351,0.8269018743109151
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,7,0.44044109936838965,0.7786903564644094,0.778685767490866,0.7796935398648461,0.7776779951168861,0.7815602436823105,0.7738341245462161,79.8,0.3929956600111497,0.8068773459256569,0.8067351805261389,0.8014934660858744,0.8119768949664034,0.8155339805825242,0.8084507042253521
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,8,0.43663720885979185,0.7802827131523076,0.7802764574751433,0.7814488565315253,0.7791040584187614,0.7823781588447654,0.7758572467416233,79.7,0.36857785738644666,0.8241917907737014,0.8240008963105663,0.8182045824464755,0.8297972101746571,0.8381482358512905,0.8216109563602599
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,9,0.4321861320706716,0.7830204492122025,0.7830113344777629,0.7844176751415566,0.7816049938139692,0.783985785198556,0.7792386185243328,79.6,0.3957767884080903,0.8030027848407798,0.8026703267849464,0.7945707070707071,0.8107699464991859,0.8253611176888468,0.7966857142857143
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,10,0.4284077727444306,0.7865543636160465,0.7865361666815015,0.7885070516103138,0.7845652817526892,0.7847754963898917,0.7843551797040169,79.7,0.3867250507428407,0.8086330064172418,0.8086284045658299,0.8095668413759866,0.8076899677556731,0.7859341700213118,0.8306845200850957
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,11,0.4257173741552494,0.7874762543300927,0.787451858306199,0.7897289901739936,0.7851747264384045,0.7842114169675091,0.7861404054397919,79.9,0.3953563438834225,0.7994309238406587,0.7970015514000854,0.7747943715586976,0.8192087312414734,0.8887047122898414,0.7597935013665351
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,12,0.4200011114192843,0.7910101687339367,0.7909978335060623,0.7926034764769483,0.7893921905351764,0.7908393501805054,0.7879503175406058,79.7,0.40015142904180695,0.8009444242644388,0.7992669422547158,0.7809168443496801,0.8176170401597515,0.8726024153445417,0.7691504905030265
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,13,0.41658420260491513,0.7926583975863225,0.7926408811426928,0.7945467128027681,0.7907350494826176,0.7909803700361011,0.790489881053047,79.8,0.38343492216341635,0.8086330064172418,0.8080895541047541,0.7978771021165036,0.8183020060930045,0.8427658062988397,0.795218411350687
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,14,0.4126538102261007,0.7969326181696279,0.7969180673470273,0.7986370813595944,0.7951990533344603,0.796028880866426,0.7943709541232761,79.7,0.40569321720085416,0.794224482382855,0.7931271966542459,0.7780607247796278,0.8081936685288641,0.8478569737153682,0.7720754716981132
ViT tiny (v2 bloques tuned),vit_tiny_patch16_224,15,0.4099322384609858,0.7966113532238239,0.7965901462963454,0.7986670906903751,0.7945132019023158,0.7939417870036101,0.7950854399096173,79.2,0.4088836890731139,0.7980990434677322,0.7980834840649003,0.7998559683130289,0.7963109998167716,0.7718446601941747,0.8223792102939321
